world_rank,university_name,country,teaching,international,research,citations,income,total_score
1,Harvard University,United States of America,99.7,72.4,98.7,98.8,34.5,96.1
2,California Institute of Technology,United States of America,97.7,54.6,98,99.9,83.7,96
3,Massachusetts Institute of Technology,United States of America,97.8,82.3,91.4,99.9,87.5,95.6
4,Stanford University,United States of America,98.3,29.5,98.1,99.2,64.3,94.3
5,Princeton University,United States of America,90.9,70.3,95.4,99.9,51.7,94.2
6,University of Cambridge,United Kingdom,90.5,77.7,94.1,94,57,91.2
6,University of Oxford,United Kingdom,88.2,77.2,93.9,95.1,73.5,91.2
8,"University of California, Berkeley",United States of America,84.2,39.6,99.3,97.8,51.7,91.1
9,Imperial College London,United Kingdom,89.2,90,94.5,88.3,92.9,90.6
10,Yale University,United States of America,92.1,59.2,89.7,91.5,51.7,89.5
11,"University of California, Los Angeles",United States of America,83,48.1,92.9,93.2,51.7,87.7
12,University of Chicago,United States of America,79.1,62.8,87.9,96.9,51.7,86.9
13,Johns Hopkins University,United States of America,80.9,58.5,89.2,92.3,100,86.4
14,Cornell University,United States of America,82.2,62.4,88.8,88.1,34.7,83.9
15,ETH Zurich ÃŒÂ¢â€°Ã¢Ã‚â€°Ã›Ãè Swiss Federal Institute of Technology Zurich,Switzerland,77.5,93.7,87.8,83.1,51.7,83.4
15,University of Michigan,United States of America,83.9,53.3,89.1,84.1,59.6,83.4
17,University of Toronto,Canada,75.8,54.2,87.9,82.2,51.7,82
18,Columbia University,United States of America,73.8,90.9,73.8,92.6,51.7,81
19,University of Pennsylvania,United States of America,71.8,32.9,82.7,93.6,43.7,79.5
20,Carnegie Mellon University,United States of America,70.3,39.1,79.3,95.7,53.7,79.3
21,University of Hong Kong,Hong Kong,68.4,91.4,71.4,96.1,56.5,79.2
22,University College London,United Kingdom,74,90.8,81.6,80.6,39,78.4
23,University of Washington,United States of America,68.2,49,77.1,95.9,32.8,78
24,Duke University,United States of America,66.8,49.4,71.5,92.3,100,76.5
25,Northwestern University,United States of America,64.5,60.5,68.8,95.3,51.7,75.9
26,University of Tokyo,Japan,87.7,18.4,91.9,58.1,51.7,75.6
27,Georgia Institute of Technology,United States of America,67.9,73.2,72.6,83.2,95.1,75.3
28,Pohang University of Science and Technology,South Korea,69.5,32.6,62.5,96.5,100,75.1
29,"University of California, Santa Barbara",United States of America,56.6,64.3,68,98.8,89.8,75
30,University of British Columbia,Canada,65.1,93.3,74.8,80.3,42.6,73.8
30,University of North Carolina at Chapel Hill,United States of America,70.9,21.5,75.1,85,50.2,73.8
32,"University of California, San Diego",United States of America,59.8,31.6,76.3,90.8,51.8,73.2
33,University of Illinois at Urbana-Champaign,United States of America,68.1,55.9,80.9,72.9,51.7,73
34,National University of Singapore,Singapore,65.5,97.8,72.6,78.7,40.5,72.9
35,McGill University,Canada,69,85.9,74.9,69,51.7,71.7
36,University of Melbourne,Australia,58.7,88,69.2,83.3,47.7,71
37,Peking University,China,76.4,68.6,61.3,72.2,98.6,70.7
38,Washington University in St Louis,United States of America,58.9,56.4,63,88.6,51.7,69.9
39,ÃŒÃ„â€°Ã›Â¡cole Polytechnique,France,57.9,77.9,56.1,91.4,51.7,69.5
40,University of Edinburgh,United Kingdom,59.9,67.3,61.9,86.8,42.2,69.2
41,Hong Kong University of Science and Technology,Hong Kong,50.4,97.4,51.8,98.2,64.1,69
42,ÃŒÃ„â€°Ã›Â¡cole Normale SupÃŒÃ„Ã¥Â©rieure,France,66.8,44.9,48.2,95.7,30.7,68.6
43,Australian National University,Australia,51.9,93.9,62.4,81,51.7,67
43,Karolinska Institute,Sweden,65.8,54.2,72.7,62.3,73.3,67
43,University of GÃŒÃ„Ã¥Â_ttingen,Germany,57.3,44.5,55.9,92.5,31.7,67
43,University of Wisconsin,United States of America,55.5,43.7,64.6,83.4,51.7,67
47,Rice University,United States of America,57.4,31.2,50.6,99.1,29.2,66.9
48,ÃŒÃ„â€°Ã›Â¡cole Polytechnique FÃŒÃ„Ã¥Â©dÃŒÃ„Ã¥Â©rale de Lausanne,Switzerland,55,100,56.1,83.8,38,66.5
49,"University of California, Irvine",United States of America,49.4,66.3,54.7,91.6,51.7,66
49,University of Science and Technology of China,China,57.5,54.2,48.6,92.7,30.3,66
51,Vanderbilt University,United States of America,64.9,22.1,59.5,78.1,84.2,65.9
52,University of Minnesota,United States of America,57.6,23,69.1,76.4,51.7,65.6
53,Tufts University,United States of America,64.1,28.3,52.3,83.9,51.7,65.2
54,"University of California, Davis",United States of America,57.3,60.5,70.7,68.8,48,65
55,Brown University,United States of America,59.7,60.5,57,77.7,51.7,64.9
56,University of Massachusetts,United States of America,61.3,22.6,72.6,67.9,53.9,64.7
57,Kyoto University,Japan,78.9,18.4,77.7,46.3,67.1,64.6
58,Tsinghua University,China,74.9,43,66.6,52.7,97.8,64.2
59,Boston University,United States of America,53.6,38.1,51.9,91.4,29.6,64
60,New York University,United States of America,62,31.8,50.7,82.9,51.7,63.9
61,Emory University,United States of America,63.4,52.3,48.4,77.8,51.7,63
61,LMU Munich,Germany,59.1,43.1,57.5,76.4,40.4,63
63,University of Notre Dame,United States of America,56.4,35.6,45.1,89.1,51.7,62.8
64,University of Pittsburgh,United States of America,58.5,25.2,58.3,78.3,37.9,62.7
65,Case Western Reserve University,United States of America,67.2,56.5,53.8,66,51.7,62.2
66,Ohio State University,United States of America,63.5,64,54.9,67.2,51.7,62.1
67,University of Colorado Boulder,United States of America,46.4,31.7,58.1,83.4,51.7,61.6
68,University of Bristol,United Kingdom,49.6,67.2,53.1,80.9,36.2,61.4
68,"University of California, Santa Cruz",United States of America,38.3,16.7,50.4,99.6,51.7,61.4
68,Yeshiva University,United States of America,63.5,53.3,46.7,74.4,51.7,61.4
71,University of Sydney,Australia,49.8,89.6,61.9,64.3,90.8,61.2
72,University of Virginia,United States of America,62,42.2,55.4,68.6,51.7,61.1
73,University of Adelaide,Australia,46.5,87.5,38.8,90.5,52.7,60.7
73,University of Southern California,United States of America,65.4,31.2,48.7,71.9,51.7,60.7
75,William & Mary,United States of America,53.1,20.9,36.1,95.6,51.7,60.4
76,Trinity College Dublin,Republic of Ireland,47.7,84.2,45.3,84.4,31.6,60.3
77,KingÃŒÂ¢â€°Ã¢Ã‚â€°Ã£Â¢s College London,United Kingdom,48.5,85.9,54.5,72.1,44.1,59.7
78,Stony Brook University,United States of America,48.5,52.2,43.6,85.8,51.7,59.6
79,Korea Advanced Institute of Science and Technology (KAIST),South Korea,71.3,36.7,63.4,45.5,100,59.5
79,University of Sussex,United Kingdom,42.4,72.8,42.4,91.6,29.1,59.5
81,The University of Queensland,Australia,51.8,74.2,53.4,69,57.1,59.1
81,University of York,United Kingdom,47.9,66.6,46.2,81.9,36.2,59.1
83,Heidelberg University,Germany,59.2,63.4,47.5,70.3,39.1,59
83,University of Utah,United States of America,55.8,22.5,54.2,72,51.7,59
85,Durham University,United Kingdom,39.8,65.7,44.1,91,33.9,58.9
86,London School of Economics and Political Science,United Kingdom,62.4,99.5,56.2,51.6,38.4,58.3
87,University of Manchester,United Kingdom,56.5,79.1,56.2,59.2,39,58
88,"Royal Holloway, University of London",United Kingdom,37.7,92.9,36.2,93.2,30.5,57.9
89,Lund University,Sweden,46.3,56.8,60.8,67.6,33.2,57.8
90,University of Southampton,United Kingdom,50.8,69,47.8,72.9,37.7,57.7
90,University of Zurich,Switzerland,56.6,87.9,47,65,43.8,57.7
90,Wake Forest University,United States of America,54.6,24.4,42.9,79.2,51.7,57.7
93,McMaster University,Canada,44.7,54.2,58.7,68.5,51.7,57.6
94,University College Dublin,Republic of Ireland,42.4,87,36.6,86.3,51.7,57.5
95,George Washington University,United States of America,60.6,39.6,43.1,70.2,51.7,57.3
95,University of Arizona,United States of America,52.4,21.9,52.2,70.1,84.2,57.3
95,University of Basel,Switzerland,50.2,91.3,37.1,78.3,45.8,57.3
98,"University of Maryland, College Park",United States of America,45.4,35.4,48.6,79.2,51.7,57.2
99,Dartmouth College,United States of America,44.7,31,49.2,79.7,51.7,57.1
100,ÃŒÃ„â€°Ã›Â¡cole Normale SupÃŒÃ„Ã¥Â©rieure de Lyon,France,51.1,37.6,34.4,88.8,26.1,57
101,Technical University of Munich,Germany,50.4,85.3,43.2,71.2,51.7,56.9
102,University of Helsinki,Finland,49,24.2,51.4,75.4,30.2,56.6
